,id,title,site
0,1,可能是最后一次机会，2 种方法免费升级到 Windows 10,https://sspai.com/post/58067
1,2,群讨论 | 少数派作者们的 2019「年度新知」,https://sspai.com/post/58113
2,3,为 Android 换上任意喜欢的字体，你可以试试这个 Magisk 模块,https://sspai.com/post/58049
3,4,送给每一位想在 iPad 上画画的人：Procreate 快速入门指南,https://sspai.com/post/58059
4,5,[有奖评论] 来 NOMO 相机陈列馆，找寻你最爱的相机和它的背后故事,https://sspai.com/post/58110
5,6,视频｜如何在 Windows 上还原 macOS 的使用习惯,https://sspai.com/post/58112
6,7,派早报：联发科将推出中高端 5G SoC 天玑 800、微信暂停朋友圈表情包评论功能、快手成为央视 2020 春晚独家互动合作伙伴等,https://sspai.com/post/58107
7,8,新游派 | 本周值得一试的 4 款新游戏,https://sspai.com/post/58086
8,9,视频｜怎样科学地放电影？,https://sspai.com/post/58087
9,10,Windows 上找一款好用的解压软件，试试免费开源的 PeaZip,https://sspai.com/post/58061
10,11,福利｜一枚最接近真实的音箱：真力 G One 体验,https://sspai.com/post/58079
11,12,付费教程及软件商城「双蛋」大折扣，让新年能量满满,https://sspai.com/post/58080
12,13,花一年时间拍遍了中国风光，我有这些摄影经验想要分享,https://sspai.com/post/57906
13,14,macOS 自动化的新方向,https://sspai.com/post/58062
14,15,派早报：微信读书 App 上线墨水屏版、realme X50 将于下个月发布、vivo 手机已完成统一推送适配等,https://sspai.com/post/58084
15,16,过去的 2019 年，你有哪些「年度新知」？ | 和派聊聊,https://sspai.com/post/58066
16,17,如何远离「久坐病」，这是我的五个小招式,https://sspai.com/post/57954
17,18,用 GitHub 搭建静态博客太繁琐？用这个小工具实现「傻瓜式」发布,https://sspai.com/post/58013
18,19,一个更好的创造时代，OPPO 开发者大会有感,https://sspai.com/post/58019
19,20,怎样的视频算得上「高清」？这 3 个「率」很重要,https://sspai.com/post/58012
20,21,76 人 121:109 力克雄鹿，恩比德 31+11 米德尔顿 31 分，如何评价这场比赛？,http://www.zhihu.com/question/363000890/answer/950982613?utm_campaign=rss&utm_medium=rss&utm_source=rss&utm_content=title
21,22,为什么造车新势力推出的汽车比传统车更智能？,http://www.zhihu.com/question/361879268/answer/950748911?utm_campaign=rss&utm_medium=rss&utm_source=rss&utm_content=title
22,23,如何看待大众帕萨特在中保研汽车安全测试中成绩极差？,http://www.zhihu.com/question/362647811/answer/949647963?utm_campaign=rss&utm_medium=rss&utm_source=rss&utm_content=title
23,24,为什么说湖人现在打不过快船？,http://zhuanlan.zhihu.com/p/99494439?utm_campaign=rss&utm_medium=rss&utm_source=rss&utm_content=title
